"Municipality","MunicipalityID","Year","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu"
"San Ignacio Río Muerto",26072,2020,8.88888888888889,24.4444444444444,62.2222222222222,4.44444444444444
"San Ignacio Río Muerto",26072,2021,9.95024875621891,25.3731343283582,61.6915422885572,2.98507462686567
"San Javier",26054,2010,8.10810810810811,18.9189189189189,72.972972972973,0
"San Luis Río Colorado",26055,2010,17.6652892561983,18.2851239669421,57.5413223140496,6.50826446280992
"San Luis Río Colorado",26055,2011,18.5912240184757,21.3625866050808,54.6189376443418,5.42725173210162
"San Luis Río Colorado",26055,2012,17.4011299435028,19.8870056497175,60,2.71186440677966
"San Luis Río Colorado",26055,2013,15.7360406091371,23.2233502538071,56.3451776649746,4.69543147208122
"San Luis Río Colorado",26055,2014,14.9870801033592,23.6434108527132,58.3979328165375,2.97157622739018
"San Luis Río Colorado",26055,2015,18.646408839779,17.1270718232044,59.1160220994475,5.11049723756906
"San Luis Río Colorado",26055,2016,23.7693389592124,18.4247538677918,51.7580872011252,6.0478199718706
"San Luis Río Colorado",26055,2017,12.4615384615385,19.5384615384615,62.1538461538461,5.84615384615385
"San Luis Río Colorado",26055,2018,13.8282387190684,19.7962154294032,60.6259097525473,5.74963609898108
"San Luis Río Colorado",26055,2019,14.006968641115,22.8571428571429,58.3275261324042,4.80836236933798
"San Luis Río Colorado",26055,2020,15.6771799628943,26.808905380334,55.6586270871985,1.85528756957328
"San Luis Río Colorado",26055,2021,17.1238570241064,25.1039068994181,54.5303408146301,3.24189526184539
"San Luis Río Colorado",26055,2022,16.6301969365427,22.9759299781182,57.7680525164114,2.62582056892779
"San Miguel de Horcasitas",26056,2010,7.6271186440678,7.6271186440678,84.7457627118644,0
"San Miguel de Horcasitas",26056,2011,5.47945205479452,7.53424657534247,86.986301369863,0
"San Miguel de Horcasitas",26056,2012,2.63157894736842,9.64912280701754,86.8421052631579,0.87719298245614
"San Miguel de Horcasitas",26056,2013,7.82608695652174,11.304347826087,80.8695652173913,0
"San Miguel de Horcasitas",26056,2014,6.61764705882353,9.55882352941176,83.8235294117647,0
"San Miguel de Horcasitas",26056,2015,2.7027027027027,8.10810810810811,89.1891891891892,0
"San Pedro de la Cueva",26057,2012,16.2162162162162,10.8108108108108,72.972972972973,0
"San Pedro de la Cueva",26057,2013,10.8108108108108,11.4864864864865,77.7027027027027,0
"Santa Ana",26058,2010,2.25988700564972,16.9491525423729,78.5310734463277,2.25988700564972
"Santa Ana",26058,2011,6.09137055837564,4.56852791878173,87.3096446700508,2.03045685279188
"Santa Ana",26058,2012,9.77443609022556,6.01503759398496,81.9548872180451,2.25563909774436
"Santa Ana",26058,2013,25.3246753246753,13.6363636363636,58.4415584415584,2.5974025974026
"Santa Ana",26058,2014,17.515923566879,18.7898089171975,62.4203821656051,1.27388535031847
"Santa Ana",26058,2015,18.2561307901907,19.0735694822888,61.8528610354223,0.817438692098093
"Santa Ana",26058,2016,12.621359223301,18.9320388349515,66.504854368932,1.94174757281553
"Santa Ana",26058,2018,32.5,15,52.5,0
"Santa Ana",26058,2019,30.0970873786408,13.5922330097087,56.3106796116505,0
"Santa Ana",26058,2021,21.5789473684211,21.5789473684211,54.4736842105263,2.36842105263158
"Santa Ana",26058,2022,22.0496894409938,18.3229813664596,56.5217391304348,3.1055900621118
"Sáric",26060,2014,10.8695652173913,19.5652173913043,65.7608695652174,3.80434782608696
"Sáric",26060,2015,5.45454545454545,11.5151515151515,79.3939393939394,3.63636363636364
